Campaign_ID,Platform,Campaign_Type,Country,Device,Impressions,Clicks,Conversions,Revenue,Spend,Date,CTR,CPC,ROAS
CAMP-0019,Facebook,Email,Brazil,Desktop,86947,4640,375,16670.61,11350.5,2024-01-19,0.0534,2.45,1.47
CAMP-0020,YouTube,Ads,Germany,Desktop,44803,3146,558,9918.79,7276.86,2024-01-20,0.0702,2.31,1.36
CAMP-0021,LinkedIn,Ads,Canada,Desktop,20296,1659,106,18241.49,1718.96,2024-01-21,0.0817,1.04,10.61
CAMP-0022,Instagram,Influencer,Brazil,Tablet,92829,767,619,18567.48,1775.27,2024-01-22,0.0083,2.31,10.46
CAMP-0023,YouTube,SEO,Canada,Desktop,93708,3611,264,3391.86,12033.01,2024-01-23,0.0385,3.33,0.28
CAMP-0024,Facebook,Ads,Argentina,Mobile,87664,1066,204,146.24,7964.39,2024-01-24,0.0122,7.47,0.02
CAMP-0025,Twitter,SEO,Brazil,Mobile,19257,3615,78,19680.23,7249.76,2024-01-25,0.1877,2.01,2.71
CAMP-0026,LinkedIn,Ads,Germany,Tablet,13855,4751,154,18132.14,10224.47,2024-01-26,0.3429,2.15,1.77
CAMP-0027,YouTube,Organic,USA,Tablet,86178,4520,782,1203.36,12889.68,2024-01-27,0.0524,2.85,0.09
CAMP-0028,Instagram,Email,Germany,Desktop,21025,2010,246,16677.38,9451.65,2024-01-28,0.0956,4.7,1.76
CAMP-0029,Instagram,Ads,Germany,Tablet,5458,1098,530,9210.32,11454.58,2024-01-29,0.2012,10.43,0.8
CAMP-0030,TikTok,SEO,Canada,Mobile,64610,1407,537,5253.34,11490.79,2024-01-30,0.0218,8.17,0.46
CAMP-0031,TikTok,Organic,Canada,Desktop,71843,3476,728,17587.06,5376.11,2024-01-31,0.0484,1.55,3.27
CAMP-0032,Facebook,Ads,Germany,Mobile,84961,165,153,4013.68,4147.54,2024-02-01,0.0019,25.14,0.97
CAMP-0033,YouTube,Influencer,Germany,Desktop,50831,2145,153,18951.27,12027.4,2024-02-02,0.0422,5.61,1.58
CAMP-0034,YouTube,Email,Germany,Tablet,44427,1851,685,4191.87,5688.82,2024-02-03,0.0417,3.07,0.74
CAMP-0035,Twitter,Ads,Canada,Desktop,94809,2196,91,12312.3,13554.87,2024-02-04,0.0232,6.17,0.91
CAMP-0036,Twitter,Organic,Germany,Desktop,39506,1670,432,4539.42,1091.88,2024-02-05,0.0423,0.65,4.16
CAMP-0037,Twitter,Influencer,Germany,Mobile,6668,4830,337,10958.81,920.35,2024-02-06,0.7244,0.19,11.91
CAMP-0038,TikTok,Organic,Argentina,Mobile,92470,3000,479,13711.11,13908.71,2024-02-07,0.0324,4.64,0.99
CAMP-0039,YouTube,Organic,UK,Desktop,48195,3842,692,3885.54,9744.4,2024-02-08,0.0797,2.54,0.4
CAMP-0040,YouTube,Influencer,USA,Tablet,74233,2991,130,10465.63,5725.01,2024-02-09,0.0403,1.91,1.83
CAMP-0041,Instagram,Organic,Mexico,Tablet,25417,4955,449,9434.29,11338.15,2024-02-10,0.1949,2.29,0.83
CAMP-0042,TikTok,Influencer,USA,Mobile,82982,1027,786,1513.64,10101.29,2024-02-11,0.0124,9.84,0.15
CAMP-0043,LinkedIn,Ads,UK,Tablet,11751,3116,272,16384.33,7991.46,2024-02-12,0.2652,2.56,2.05
CAMP-0044,TikTok,Influencer,Mexico,Mobile,47218,833,587,6780.08,1528.16,2024-02-13,0.0176,1.83,4.44
CAMP-0045,LinkedIn,Influencer,Brazil,Tablet,8352,290,176,11534.19,12192.08,2024-02-14,0.0347,42.04,0.95
CAMP-0046,Instagram,Email,Germany,Desktop,80052,1603,695,10344.21,12997.05,2024-02-15,0.02,8.11,0.8
CAMP-0047,Facebook,Influencer,UK,Mobile,89835,4628,642,10313.88,2623.92,2024-02-16,0.0515,0.57,3.93
CAMP-0048,YouTube,Influencer,Argentina,Mobile,98493,1062,48,2233.73,12765.15,2024-02-17,0.0108,12.02,0.17
CAMP-0049,Instagram,Ads,Brazil,Desktop,29927,236,566,8527.29,13173.82,2024-02-18,0.0079,55.82,0.65
CAMP-0050,YouTube,Email,Germany,Mobile,42094,1931,665,9102.1,8263.96,2024-02-19,0.0459,4.28,1.1
CAMP-0051,Twitter,SEO,Canada,Tablet,55122,4636,354,14699.49,9859.88,2024-02-20,0.0841,2.13,1.49
CAMP-0052,Facebook,Ads,Spain,Tablet,30493,480,711,16816.37,5764.45,2024-02-21,0.0157,12.01,2.92
CAMP-0053,Facebook,Ads,UK,Mobile,93247,288,307,10945.15,4262.79,2024-02-22,0.0031,14.8,2.57
CAMP-0054,Instagram,SEO,Canada,Tablet,74539,2395,629,1826.98,10843.65,2024-02-23,0.0321,4.53,0.17
CAMP-0055,Facebook,Influencer,UK,Mobile,32707,125,774,4813.3,12935.03,2024-02-24,0.0038,103.48,0.37
CAMP-0056,LinkedIn,Organic,Argentina,Desktop,69814,1406,45,3382.19,9828.46,2024-02-25,0.0201,6.99,0.34
CAMP-0057,Facebook,Email,UK,Mobile,8296,4972,301,2579.84,7698.28,2024-02-26,0.5993,1.55,0.34
CAMP-0058,YouTube,Organic,Canada,Desktop,26398,2380,407,7381.4,2425.93,2024-02-27,0.0902,1.02,3.04
CAMP-0059,YouTube,SEO,Argentina,Tablet,36842,4736,188,4664.93,849.21,2024-02-28,0.1285,0.18,5.49
CAMP-0060,YouTube,Ads,Mexico,Desktop,14261,1952,128,4444.23,6713.09,2024-02-29,0.1369,3.44,0.66
CAMP-0061,YouTube,Ads,USA,Tablet,77709,4063,560,1188.39,787.78,2024-03-01,0.0523,0.19,1.51
CAMP-0062,LinkedIn,Email,Germany,Mobile,96985,4720,536,451.63,8561.55,2024-03-02,0.0487,1.81,0.05
CAMP-0063,TikTok,Ads,UK,Tablet,57704,2109,265,2145.09,5771.8,2024-03-03,0.0365,2.74,0.37
CAMP-0064,Twitter,Ads,Germany,Mobile,68173,190,117,3526.73,11369.98,2024-03-04,0.0028,59.84,0.31
CAMP-0065,Instagram,Email,Spain,Mobile,32781,1839,463,8676.58,4619.45,2024-03-05,0.0561,2.51,1.88
CAMP-0066,YouTube,Email,Canada,Desktop,14652,3676,143,10259.35,8915.09,2024-03-06,0.2509,2.43,1.15
CAMP-0067,Facebook,SEO,Germany,Desktop,6103,66,441,2897.78,8088.37,2024-03-07,0.0108,122.55,0.36
CAMP-0068,YouTube,Ads,Canada,Desktop,26500,4398,199,8553.19,120.45,2024-03-08,0.166,0.03,71.01
CAMP-0069,Facebook,Ads,Germany,Desktop,36529,514,156,6900.8,1132.22,2024-03-09,0.0141,2.2,6.09
CAMP-0070,Twitter,SEO,USA,Tablet,19452,4521,486,3750.13,4391.0,2024-03-10,0.2324,0.97,0.85
CAMP-0071,Twitter,Influencer,USA,Tablet,50393,1877,133,236.13,13239.41,2024-03-11,0.0372,7.05,0.02
CAMP-0072,Twitter,Influencer,Argentina,Tablet,32174,3078,147,9393.66,2247.87,2024-03-12,0.0957,0.73,4.18
CAMP-0073,Facebook,Influencer,USA,Mobile,65450,569,335,13744.47,10677.87,2024-03-13,0.0087,18.77,1.29
CAMP-0074,YouTube,SEO,Argentina,Tablet,36436,139,70,4602.92,14601.83,2024-03-14,0.0038,105.05,0.32
CAMP-0075,Twitter,Ads,USA,Tablet,48406,4865,232,2722.96,11868.98,2024-03-15,0.1005,2.44,0.23
CAMP-0076,LinkedIn,SEO,USA,Tablet,64059,2901,333,17752.15,3682.03,2024-03-16,0.0453,1.27,4.82
CAMP-0077,Facebook,SEO,USA,Desktop,16954,2893,665,5572.99,13630.06,2024-03-17,0.1706,4.71,0.41
CAMP-0078,Facebook,Influencer,Canada,Tablet,83722,4775,89,4549.89,1441.95,2024-03-18,0.057,0.3,3.16
CAMP-0079,YouTube,Organic,UK,Mobile,13356,1934,333,17156.23,7048.72,2024-03-19,0.1448,3.64,2.43
CAMP-0080,Facebook,Ads,Argentina,Desktop,99499,4221,198,16360.43,13318.75,2024-03-20,0.0424,3.16,1.23
CAMP-0081,Facebook,Influencer,Germany,Mobile,3187,975,160,9022.09,9636.92,2024-03-21,0.3059,9.88,0.94
CAMP-0082,Twitter,Organic,USA,Tablet,78243,3784,537,9835.85,6233.99,2024-03-22,0.0484,1.65,1.58
CAMP-0083,YouTube,Organic,Canada,Desktop,36098,1019,120,4433.2,4427.55,2024-03-23,0.0282,4.34,1.0
CAMP-0084,Twitter,Email,Canada,Mobile,93471,1144,300,1658.2,5657.74,2024-03-24,0.0122,4.95,0.29
CAMP-0085,Twitter,Ads,Canada,Tablet,22225,3245,723,11511.29,7658.68,2024-03-25,0.146,2.36,1.5
CAMP-0086,YouTube,Organic,Argentina,Mobile,4606,1454,574,2057.06,4819.71,2024-03-26,0.3157,3.31,0.43
CAMP-0087,Instagram,Influencer,UK,Mobile,58620,3414,435,9040.56,14536.07,2024-03-27,0.0582,4.26,0.62
CAMP-0088,Twitter,Email,Argentina,Mobile,33828,4340,67,18815.89,13999.51,2024-03-28,0.1283,3.23,1.34
CAMP-0089,LinkedIn,Ads,Germany,Tablet,27489,4032,764,19061.4,13066.54,2024-03-29,0.1467,3.24,1.46
CAMP-0090,LinkedIn,SEO,UK,Tablet,15387,4373,458,4862.71,6356.36,2024-03-30,0.2842,1.45,0.77
CAMP-0091,Facebook,Influencer,Mexico,Mobile,70463,4063,513,12519.86,10384.96,2024-03-31,0.0577,2.56,1.21
CAMP-0092,LinkedIn,Organic,Brazil,Desktop,72832,4606,397,9534.12,13547.3,2024-04-01,0.0632,2.94,0.7
CAMP-0093,Facebook,Organic,Canada,Desktop,96980,4763,619,17526.13,12763.92,2024-04-02,0.0491,2.68,1.37
CAMP-0094,Instagram,Influencer,Argentina,Tablet,3591,3142,285,5501.47,6244.19,2024-04-03,0.875,1.99,0.88
CAMP-0095,YouTube,Organic,Mexico,Tablet,49516,4209,560,173.68,1730.17,2024-04-04,0.085,0.41,0.1
CAMP-0096,YouTube,Email,Spain,Tablet,92683,2124,139,3334.97,1180.67,2024-04-05,0.0229,0.56,2.82
CAMP-0097,YouTube,Ads,Argentina,Tablet,63061,334,729,7055.5,8677.11,2024-04-06,0.0053,25.98,0.81
CAMP-0098,LinkedIn,Email,USA,Tablet,67736,4983,555,6382.85,9657.29,2024-04-07,0.0736,1.94,0.66
CAMP-0099,Instagram,Organic,Brazil,Desktop,82257,4976,780,15848.12,12755.15,2024-04-08,0.0605,2.56,1.24
CAMP-0100,LinkedIn,SEO,USA,Tablet,62753,1237,589,13643.16,4423.1,2024-04-09,0.0197,3.58,3.08
CAMP-0101,LinkedIn,Ads,UK,Mobile,85774,4019,727,6061.17,2553.68,2024-04-10,0.0469,0.64,2.37
CAMP-0102,Instagram,Ads,Brazil,Mobile,12087,3015,609,9209.1,5716.14,2024-04-11,0.2494,1.9,1.61
CAMP-0103,Instagram,Influencer,Argentina,Desktop,31816,4369,747,2001.63,5335.95,2024-04-12,0.1373,1.22,0.38
CAMP-0104,Instagram,Influencer,Germany,Mobile,24408,833,281,17973.11,2030.41,2024-04-13,0.0341,2.44,8.85
CAMP-0105,Instagram,SEO,Mexico,Desktop,1136,999,660,18714.95,10100.63,2024-04-14,0.8794,10.11,1.85
CAMP-0106,YouTube,Ads,Germany,Desktop,18413,3989,577,19598.09,7654.94,2024-04-15,0.2166,1.92,2.56
CAMP-0107,TikTok,SEO,Argentina,Mobile,60500,94,745,17384.2,10830.79,2024-04-16,0.0016,115.22,1.61
CAMP-0108,TikTok,Influencer,UK,Tablet,85514,1860,456,3561.82,5322.73,2024-04-17,0.0218,2.86,0.67
CAMP-0109,Instagram,Influencer,USA,Mobile,57358,4616,86,1019.31,4919.25,2024-04-18,0.0805,1.07,0.21
CAMP-0110,TikTok,Ads,Brazil,Mobile,67197,2131,78,11633.97,7115.01,2024-04-19,0.0317,3.34,1.64
CAMP-0111,TikTok,Email,Germany,Desktop,93789,3548,204,18260.84,13167.24,2024-04-20,0.0378,3.71,1.39
CAMP-0112,Instagram,Organic,Argentina,Mobile,93420,879,790,3629.29,652.21,2024-04-21,0.0094,0.74,5.56
CAMP-0113,TikTok,Influencer,Germany,Desktop,33854,1959,336,240.15,12082.25,2024-04-22,0.0579,6.17,0.02
CAMP-0114,LinkedIn,Influencer,Argentina,Tablet,77240,2631,253,16129.37,5566.36,2024-04-23,0.0341,2.12,2.9
CAMP-0115,Facebook,Email,USA,Tablet,91063,741,303,1628.23,12826.55,2024-04-24,0.0081,17.31,0.13
CAMP-0116,Facebook,Email,Brazil,Tablet,17322,4069,379,8332.75,12042.93,2024-04-25,0.2349,2.96,0.69
CAMP-0117,Instagram,SEO,Mexico,Mobile,7968,981,129,13609.86,5263.98,2024-04-26,0.1231,5.37,2.59
CAMP-0118,YouTube,SEO,USA,Desktop,28518,4986,595,4812.27,10423.45,2024-04-27,0.1748,2.09,0.46
CAMP-0119,Instagram,Organic,Germany,Tablet,52925,3456,275,1770.86,2436.51,2024-04-28,0.0653,0.71,0.73
CAMP-0120,YouTube,Organic,Mexico,Desktop,60848,197,698,15423.42,13449.41,2024-04-29,0.0032,68.27,1.15
CAMP-0121,Facebook,Ads,Argentina,Desktop,94422,1082,557,12640.48,6097.14,2024-04-30,0.0115,5.64,2.07
CAMP-0122,Instagram,SEO,Mexico,Tablet,2700,1361,182,19770.96,6861.6,2024-05-01,0.5041,5.04,2.88
CAMP-0123,Twitter,Influencer,Argentina,Tablet,94782,437,267,6951.73,10601.1,2024-05-02,0.0046,24.26,0.66
CAMP-0124,LinkedIn,SEO,USA,Desktop,24199,3171,321,1329.07,12321.56,2024-05-03,0.131,3.89,0.11
CAMP-0125,TikTok,Influencer,Germany,Tablet,45589,1923,511,14713.57,3583.32,2024-05-04,0.0422,1.86,4.11
CAMP-0126,YouTube,Email,UK,Desktop,33115,3638,611,10482.5,9937.18,2024-05-05,0.1099,2.73,1.05
CAMP-0127,Twitter,SEO,Germany,Desktop,62934,965,77,4342.76,5910.37,2024-05-06,0.0153,6.12,0.73
CAMP-0128,TikTok,Email,Argentina,Tablet,55316,1928,783,15656.41,5562.11,2024-05-07,0.0349,2.88,2.81
CAMP-0129,TikTok,Organic,Canada,Mobile,6520,3798,338,4154.73,10365.89,2024-05-08,0.5825,2.73,0.4
CAMP-0130,Instagram,Organic,Brazil,Tablet,37455,327,673,5287.17,5838.39,2024-05-09,0.0087,17.85,0.91
CAMP-0131,TikTok,Ads,Spain,Mobile,87465,2027,555,1941.32,5224.32,2024-05-10,0.0232,2.58,0.37
CAMP-0132,LinkedIn,SEO,UK,Desktop,42605,1909,508,8048.7,12546.53,2024-05-11,0.0448,6.57,0.64
CAMP-0133,Twitter,Email,Mexico,Desktop,15955,3086,237,8436.69,1564.08,2024-05-12,0.1934,0.51,5.39
CAMP-0134,TikTok,Influencer,UK,Mobile,45049,3421,133,10339.78,10154.59,2024-05-13,0.0759,2.97,1.02
CAMP-0135,Instagram,Organic,Brazil,Desktop,14917,4763,191,14208.39,3768.44,2024-05-14,0.3193,0.79,3.77
CAMP-0136,LinkedIn,Organic,Mexico,Mobile,71293,2232,355,18131.41,281.7,2024-05-15,0.0313,0.13,64.36
CAMP-0137,Facebook,Influencer,Brazil,Mobile,79581,4725,277,2840.91,2543.13,2024-05-16,0.0594,0.54,1.12
CAMP-0138,Twitter,Email,Mexico,Desktop,65925,1220,17,1181.53,9119.59,2024-05-17,0.0185,7.48,0.13
CAMP-0139,TikTok,Email,UK,Mobile,71269,539,523,468.77,10651.45,2024-05-18,0.0076,19.76,0.04
CAMP-0140,Instagram,SEO,Mexico,Tablet,31954,2575,179,2958.07,364.81,2024-05-19,0.0806,0.14,8.11
CAMP-0141,Facebook,SEO,Mexico,Tablet,97671,1232,122,13193.19,594.56,2024-05-20,0.0126,0.48,22.19
CAMP-0142,Facebook,Ads,Canada,Desktop,73617,4529,245,14576.79,13543.0,2024-05-21,0.0615,2.99,1.08
CAMP-0143,YouTube,Organic,Germany,Desktop,42458,4308,733,15751.46,1145.92,2024-05-22,0.1015,0.27,13.75
CAMP-0144,LinkedIn,SEO,Germany,Mobile,90037,2538,372,4949.79,13418.02,2024-05-23,0.0282,5.29,0.37
CAMP-0145,TikTok,Email,Spain,Mobile,22113,1926,50,6187.31,3461.08,2024-05-24,0.0871,1.8,1.79
CAMP-0146,Instagram,Influencer,Spain,Mobile,91226,2512,70,9714.38,11113.27,2024-05-25,0.0275,4.42,0.87
CAMP-0147,YouTube,Email,Argentina,Mobile,44939,1680,479,1357.34,4680.51,2024-05-26,0.0374,2.79,0.29
CAMP-0148,LinkedIn,Organic,Argentina,Tablet,30345,337,559,12261.72,12888.34,2024-05-27,0.0111,38.24,0.95
CAMP-0149,YouTube,Email,Argentina,Tablet,47313,4332,18,19676.33,10521.8,2024-05-28,0.0916,2.43,1.87
CAMP-0150,Twitter,Ads,Canada,Desktop,93365,1957,773,7280.05,6057.11,2024-05-29,0.021,3.1,1.2
CAMP-0151,LinkedIn,Organic,Spain,Mobile,70166,1211,83,15081.66,1190.72,2024-05-30,0.0173,0.98,12.67
CAMP-0152,LinkedIn,Influencer,Brazil,Mobile,48861,179,154,10050.67,11003.87,2024-05-31,0.0037,61.47,0.91
CAMP-0153,TikTok,Ads,Argentina,Desktop,98406,2413,564,2643.46,9272.43,2024-06-01,0.0245,3.84,0.29
CAMP-0154,LinkedIn,Organic,Argentina,Mobile,50298,193,618,11686.53,93.53,2024-06-02,0.0038,0.48,124.95
CAMP-0155,YouTube,Influencer,UK,Mobile,48221,65,356,6067.5,190.83,2024-06-03,0.0013,2.94,31.8
CAMP-0156,LinkedIn,Ads,USA,Mobile,45942,294,646,784.62,12141.45,2024-06-04,0.0064,41.3,0.06
CAMP-0157,TikTok,Ads,Brazil,Mobile,4453,976,442,12735.1,3928.03,2024-06-05,0.2192,4.02,3.24
CAMP-0158,TikTok,Organic,Argentina,Mobile,55935,3228,68,17192.75,9560.2,2024-06-06,0.0577,2.96,1.8
CAMP-0159,Twitter,SEO,Argentina,Desktop,44370,2226,522,6960.92,6840.51,2024-06-07,0.0502,3.07,1.02
CAMP-0160,YouTube,Ads,Argentina,Mobile,9328,936,142,7866.88,12958.28,2024-06-08,0.1003,13.84,0.61
CAMP-0161,Facebook,Ads,USA,Desktop,16534,390,191,17831.33,13758.57,2024-06-09,0.0236,35.28,1.3
CAMP-0162,Facebook,Influencer,USA,Mobile,86280,2101,386,16290.82,14952.28,2024-06-10,0.0244,7.12,1.09
CAMP-0163,LinkedIn,Email,Canada,Tablet,85925,3448,377,14327.56,2347.58,2024-06-11,0.0401,0.68,6.1
CAMP-0164,Twitter,Organic,Brazil,Tablet,37320,4000,580,5051.06,12951.31,2024-06-12,0.1072,3.24,0.39
CAMP-0165,Instagram,Organic,Canada,Tablet,50170,355,534,18213.31,4027.02,2024-06-13,0.0071,11.34,4.52
CAMP-0166,LinkedIn,SEO,Mexico,Tablet,81201,957,692,3172.87,8882.7,2024-06-14,0.0118,9.28,0.36
CAMP-0167,Twitter,SEO,USA,Desktop,9640,2704,292,12572.73,7611.3,2024-06-15,0.2805,2.81,1.65
CAMP-0168,YouTube,Organic,UK,Desktop,92057,3842,8,673.14,318.92,2024-06-16,0.0417,0.08,2.11
CAMP-0169,YouTube,SEO,Spain,Mobile,31049,4092,270,12910.02,13994.93,2024-06-17,0.1318,3.42,0.92
CAMP-0170,YouTube,Influencer,UK,Tablet,6618,1421,386,5615.17,1220.99,2024-06-18,0.2147,0.86,4.6
CAMP-0171,YouTube,Organic,Spain,Desktop,57053,370,92,9048.57,10338.87,2024-06-19,0.0065,27.94,0.88
CAMP-0172,YouTube,SEO,USA,Mobile,2920,4704,528,6970.76,11785.85,2024-06-20,1.611,2.51,0.59
CAMP-0173,Twitter,Organic,USA,Mobile,44937,4109,153,3537.86,11939.55,2024-06-21,0.0914,2.91,0.3
CAMP-0174,Twitter,Email,USA,Desktop,70724,1181,404,12477.42,2075.64,2024-06-22,0.0167,1.76,6.01
CAMP-0175,TikTok,Ads,Canada,Tablet,13207,2628,148,17651.31,6741.17,2024-06-23,0.199,2.57,2.62
CAMP-0176,Facebook,Organic,Brazil,Mobile,66774,4092,266,19185.78,12449.96,2024-06-24,0.0613,3.04,1.54
CAMP-0177,YouTube,Ads,Spain,Tablet,33972,3417,421,3927.69,4575.05,2024-06-25,0.1006,1.34,0.86
CAMP-0178,Instagram,SEO,Brazil,Tablet,11799,867,617,14375.72,7042.84,2024-06-26,0.0735,8.12,2.04
CAMP-0179,Twitter,Ads,Canada,Tablet,72088,61,471,13320.35,4128.27,2024-06-27,0.0008,67.68,3.23
CAMP-0180,Instagram,Organic,Canada,Mobile,29916,244,546,6933.22,6980.09,2024-06-28,0.0082,28.61,0.99
CAMP-0181,Instagram,Email,Germany,Tablet,71463,2587,630,480.07,13323.18,2024-06-29,0.0362,5.15,0.04
CAMP-0182,Instagram,SEO,UK,Mobile,94500,2892,525,13826.85,6854.11,2024-06-30,0.0306,2.37,2.02
CAMP-0183,TikTok,Organic,UK,Tablet,77700,2279,502,18915.35,8360.88,2024-07-01,0.0293,3.67,2.26
CAMP-0184,Twitter,SEO,Mexico,Mobile,38158,3059,13,12679.19,6089.45,2024-07-02,0.0802,1.99,2.08
CAMP-0185,Instagram,Influencer,Argentina,Tablet,85607,4801,777,8762.33,6928.75,2024-07-03,0.0561,1.44,1.26
CAMP-0186,YouTube,Ads,Canada,Desktop,72696,2127,651,10550.56,276.85,2024-07-04,0.0293,0.13,38.11
CAMP-0187,LinkedIn,Influencer,Spain,Tablet,62510,3917,363,4072.61,4292.0,2024-07-05,0.0627,1.1,0.95
CAMP-0188,Instagram,Organic,Germany,Tablet,59692,4923,118,15035.83,6576.9,2024-07-06,0.0825,1.34,2.29
CAMP-0189,TikTok,Email,Germany,Mobile,62744,493,237,14953.75,9525.26,2024-07-07,0.0079,19.32,1.57
CAMP-0190,Twitter,SEO,Argentina,Mobile,16810,347,545,2995.79,6778.28,2024-07-08,0.0206,19.53,0.44
CAMP-0191,TikTok,Ads,Brazil,Tablet,6126,4953,168,17571.77,5100.36,2024-07-09,0.8085,1.03,3.45
CAMP-0192,Instagram,SEO,Argentina,Desktop,31009,894,521,5456.88,5852.08,2024-07-10,0.0288,6.55,0.93
CAMP-0193,Twitter,Organic,Argentina,Desktop,91932,1065,633,19646.9,3672.29,2024-07-11,0.0116,3.45,5.35
CAMP-0194,LinkedIn,SEO,Argentina,Mobile,1192,1434,656,7719.77,13871.19,2024-07-12,1.203,9.67,0.56
CAMP-0195,Instagram,Ads,UK,Desktop,37413,1447,734,3639.89,7850.06,2024-07-13,0.0387,5.43,0.46
CAMP-0196,TikTok,Organic,Canada,Tablet,13816,603,768,7099.23,250.47,2024-07-14,0.0436,0.42,28.34
CAMP-0197,Facebook,SEO,Mexico,Mobile,40082,2400,779,8859.59,340.72,2024-07-15,0.0599,0.14,26.0
CAMP-0198,YouTube,Email,Canada,Tablet,66048,4566,515,1479.22,14595.78,2024-07-16,0.0691,3.2,0.1
CAMP-0199,TikTok,Organic,Brazil,Mobile,51940,1319,396,11606.55,3360.69,2024-07-17,0.0254,2.55,3.45
CAMP-0200,Twitter,Organic,USA,Mobile,33130,1310,105,11992.89,12093.84,2024-07-18,0.0395,9.23,0.99
CAMP-0201,Instagram,Email,Argentina,Mobile,41142,234,84,14804.72,921.22,2024-07-19,0.0057,3.94,16.07
CAMP-0202,YouTube,Influencer,Canada,Mobile,37468,4613,213,680.48,13821.38,2024-07-20,0.1231,3.0,0.05
CAMP-0203,Instagram,Ads,Brazil,Desktop,31698,2460,120,10870.64,13122.53,2024-07-21,0.0776,5.33,0.83
CAMP-0204,Twitter,Influencer,USA,Tablet,11655,4481,131,1152.86,8587.84,2024-07-22,0.3845,1.92,0.13
CAMP-0205,Instagram,SEO,USA,Tablet,48897,2259,196,14052.77,184.53,2024-07-23,0.0462,0.08,76.15
CAMP-0206,Facebook,Email,Argentina,Tablet,31075,3722,18,1208.99,3904.27,2024-07-24,0.1198,1.05,0.31
CAMP-0207,YouTube,Influencer,Mexico,Mobile,10359,4733,641,18243.38,6132.0,2024-07-25,0.4569,1.3,2.98
CAMP-0208,YouTube,Organic,Spain,Desktop,43056,1931,11,14071.44,6927.96,2024-07-26,0.0448,3.59,2.03
CAMP-0209,Twitter,SEO,UK,Tablet,52831,4346,80,10197.06,4500.3,2024-07-27,0.0823,1.04,2.27
CAMP-0210,Facebook,SEO,Canada,Desktop,60191,571,329,8885.93,542.57,2024-07-28,0.0095,0.95,16.38
CAMP-0211,TikTok,Influencer,USA,Mobile,34272,1937,773,2700.39,8872.4,2024-07-29,0.0565,4.58,0.3
CAMP-0212,Instagram,Influencer,Canada,Tablet,15671,2602,391,5890.89,7886.11,2024-07-30,0.166,3.03,0.75
CAMP-0213,LinkedIn,Email,Spain,Desktop,28048,3859,636,17392.29,4280.86,2024-07-31,0.1376,1.11,4.06
CAMP-0214,Instagram,Ads,UK,Mobile,77274,4933,306,18098.61,617.74,2024-08-01,0.0638,0.13,29.3
CAMP-0215,Instagram,Influencer,Spain,Desktop,26963,4205,266,114.88,14919.18,2024-08-02,0.156,3.55,0.01
CAMP-0216,TikTok,Influencer,UK,Tablet,44954,4723,446,11923.31,7255.69,2024-08-03,0.1051,1.54,1.64
